theta0,theta1,theta2,theta3,theta4,theta5,g
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
0,135,-135,0,0,0,0
1,135,-135,0,0,0,0
2,135,-135,0,0,0,0
3,135,-135,0,0,0,0
4,135,-135,0,0,0,0
5,135,-135,0,0,0,0
6,135,-135,0,0,0,0
6,135,-135,0,0,0,0
8,135,-135,0,0,0,0
9,135,-135,0,0,0,0
11,135,-135,0,0,0,0
12,135,-135,0,0,0,0
14,135,-135,0,0,0,0
15,135,-135,0,0,0,0
15,135,-135,0,0,0,0
17,135,-135,0,0,0,0
18,135,-135,0,0,0,0
18,135,-135,0,0,0,0
18,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-135,0,0,0,0
19,135,-134,0,0,0,0
19,135,-134,1,0,0,0
19,134,-133,3,0,0,0
19,132,-132,5,0,0,0
19,130,-132,8,0,0,0
19,127,-131,11,0,0,0
19,124,-131,15,0,0,0
19,120,-130,18,0,0,0
19,118,-130,21,0,0,0
19,115,-129,23,0,0,0
19,114,-128,25,0,0,0
19,112,-128,27,0,0,0
19,111,-127,28,0,0,0
19,110,-127,29,0,0,0
19,108,-126,30,0,0,0
19,107,-126,31,0,0,0
19,105,-125,33,0,0,0
19,103,-123,35,0,0,0
19,102,-122,36,0,0,0
19,101,-121,38,0,0,0
19,100,-120,39,0,0,0
19,100,-118,40,0,0,0
19,99,-117,40,0,0,0
19,98,-116,41,0,0,0
19,97,-114,43,0,0,0
19,95,-113,44,0,0,0
19,94,-111,46,0,0,0
19,92,-110,47,0,0,0
19,91,-109,48,0,0,0
19,91,-108,49,0,0,0
19,90,-107,49,0,0,0
19,89,-107,50,0,0,0
19,89,-106,50,0,0,0
19,88,-106,51,0,0,0
19,87,-105,51,0,0,0
19,85,-105,51,0,0,0
19,84,-105,52,0,0,0
19,83,-105,52,0,0,0
19,82,-105,52,0,0,0
19,81,-104,53,0,0,0
19,80,-104,53,0,0,0
19,79,-104,53,0,0,0
19,78,-104,53,0,0,0
19,78,-104,53,0,0,0
19,78,-104,54,0,0,0
19,77,-104,54,0,0,0
19,77,-104,54,0,0,0
19,77,-104,54,0,0,0
19,76,-104,54,0,0,0
19,76,-104,54,0,0,0
19,75,-104,54,0,0,0
19,75,-104,54,0,0,0
19,74,-104,54,0,0,0
19,74,-103,55,0,0,0
19,73,-103,55,0,0,0
19,73,-102,55,0,0,0
19,72,-102,56,0,0,0
19,72,-102,56,0,0,0
19,71,-101,56,0,0,0
19,71,-101,56,0,0,0
19,71,-101,56,0,0,0
19,71,-101,57,0,0,0
19,71,-101,57,0,0,0
19,71,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,0
19,70,-100,57,0,0,1
19,70,-100,57,0,0,1
19,70,-100,57,0,0,1
19,70,-100,57,0,0,1
19,70,-100,57,0,0,1
19,70,-100,57,0,0,1
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,2
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,3
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,4
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,5
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,70,-100,57,0,0,6
19,69,-101,57,0,0,6
19,69,-101,57,0,0,6
19,69,-101,57,0,0,6
19,68,-101,57,0,0,6
19,68,-101,57,0,0,6
19,68,-101,57,0,0,6
19,68,-100,57,0,0,6
19,67,-100,57,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-100,58,0,0,6
19,67,-99,58,0,0,6
19,67,-99,58,0,0,6
19,67,-99,59,0,0,6
19,66,-98,59,0,0,6
19,66,-98,59,0,0,6
19,65,-97,60,0,0,6
19,65,-97,60,0,0,6
19,65,-97,61,0,0,6
19,64,-96,61,0,0,6
19,64,-96,61,0,0,6
19,64,-96,61,0,0,6
19,64,-96,61,0,0,6
19,64,-96,61,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,63,-95,62,0,0,6
19,62,-95,62,0,0,6
19,62,-95,62,0,0,6
19,61,-95,62,0,0,6
19,61,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,60,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,59,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,61,0,0,6
19,58,-95,61,0,0,6
19,58,-95,61,0,0,6
19,58,-95,61,0,0,6
19,58,-95,60,0,0,6
19,58,-95,60,0,0,6
19,58,-95,61,0,0,6
19,58,-95,62,0,0,6
19,58,-95,62,0,0,6
19,58,-95,63,0,0,6
19,58,-95,64,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,66,0,0,6
19,58,-95,67,0,0,6
19,58,-95,67,0,0,6
19,58,-95,68,0,0,6
19,58,-95,68,0,0,6
19,58,-95,68,0,0,6
19,58,-95,68,0,0,6
19,58,-95,68,0,0,6
19,58,-95,67,0,0,6
19,58,-95,66,0,0,6
19,58,-95,66,0,0,6
19,58,-95,66,0,0,6
19,58,-95,66,0,0,6
19,58,-95,66,0,0,6
19,58,-95,66,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-95,65,0,0,6
19,58,-96,65,0,0,6
19,58,-96,65,0,0,6
19,58,-96,65,0,0,6
19,58,-96,65,0,0,6
19,58,-97,65,0,0,6
19,58,-97,65,0,0,6
19,58,-97,65,0,0,6
19,58,-98,65,0,0,6
19,58,-98,65,0,0,6
19,58,-98,65,0,0,6
19,58,-99,65,0,0,6
19,58,-99,65,0,0,6
19,58,-99,65,0,0,6
19,58,-99,65,0,0,6
19,58,-99,65,0,0,6
19,58,-96,65,0,0,6
19,58,-95,65,0,0,6
19,58,-94,65,0,0,6
19,58,-94,65,0,0,6
19,58,-93,65,0,0,6
19,58,-93,65,0,0,6
19,58,-93,65,0,0,6
19,58,-93,65,0,0,6
19,58,-93,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,58,-92,65,0,0,6
19,57,-92,65,0,0,6
19,57,-92,65,0,0,6
19,56,-92,65,0,0,6
19,56,-92,65,0,0,6
19,55,-92,65,0,0,6
19,55,-92,65,0,0,6
19,55,-92,65,0,0,6
19,55,-92,65,0,0,6
19,55,-92,65,0,0,6
19,55,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,53,-92,65,0,0,6
19,53,-92,65,0,0,6
19,53,-92,65,0,0,6
19,53,-92,65,0,0,6
19,52,-92,65,0,0,6
19,52,-92,65,0,0,6
19,52,-92,65,0,0,6
19,52,-92,65,0,0,6
19,52,-92,65,0,0,6
19,53,-92,65,0,0,6
19,53,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,6
19,54,-92,65,0,0,5
19,54,-92,65,0,0,5
19,54,-92,65,0,0,3
19,54,-92,65,0,0,2
19,54,-92,65,0,0,2
19,54,-92,65,0,0,1
19,54,-92,65,0,0,1
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
19,54,-92,65,0,0,0
