theta0,theta1,theta2,theta3,theta4,theta5,g
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,0,0,-13,0
0,124,-121,23,0,-13,0
0,124,-121,45,0,-13,0
0,124,-121,59,0,-13,0
0,124,-121,68,0,-13,0
0,124,-121,74,0,-13,0
0,124,-121,78,0,-13,0
0,124,-121,81,0,-13,0
0,124,-121,83,0,-13,0
0,124,-121,84,0,-13,0
0,124,-121,85,0,-13,0
0,124,-121,85,0,-13,0
0,124,-121,85,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,124,-121,86,0,-13,0
0,113,-118,94,0,-13,0
0,94,-114,95,0,-13,0
0,78,-110,99,0,-13,0
0,66,-107,103,0,-13,0
0,60,-106,106,0,-13,0
0,51,-103,112,0,-13,0
0,44,-102,118,0,-13,0
0,38,-100,123,0,-13,0
0,33,-99,129,0,-13,0
0,29,-98,134,0,-13,0
0,26,-97,139,0,-13,0
0,23,-97,143,0,-13,0
0,21,-96,147,0,-13,0
0,19,-96,150,0,-13,0
0,18,-95,153,0,-13,0
0,17,-95,156,0,-13,0
0,16,-95,158,0,-13,0
0,15,-95,160,0,-13,0
0,15,-95,162,0,-13,0
0,14,-94,163,0,-13,0
0,14,-94,164,0,-13,0
0,13,-94,165,0,-13,0
0,13,-94,166,0,-13,0
0,13,-94,167,0,-13,0
0,13,-94,167,0,-13,0
0,13,-95,168,0,-13,0
0,14,-95,168,0,-13,0
0,14,-95,169,0,-13,0
0,15,-96,169,0,-13,0
0,15,-96,169,0,-13,0
0,15,-96,169,0,-13,0
0,15,-96,170,0,-13,0
0,15,-96,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
0,16,-97,170,0,-13,0
